3D capture:,3D:,Additional microphone(s):,Bluetooth:,Broadcast Mobile TV:,CDMA:,Charging:,Colors:,Data:,Dimensions with the dock:,Dimensions:,Display size:,Dock Features:,Dual SIM:,EU SAR:,External antenna:,Features:,Fifth camera:,Flash:,Fourth camera:,Front:,GSM:,HD Voice:,HDMI:,Headphones connector:,Hearing aid compatibility:,In The Box:,LTE (FDD):,LTE (TDD):,MSRP price:,Main camera:,Materials:,Maximum User Storage:,Mobile Payment:,Model without AMPS is also available (FCC ID:,None,Notifications:,OS:,Other features:,Other:,Peak brightness:,Phone functionality:,Projector:,ROM:,Radio:,Rear:,Resistance:,Resolution:,SIM type:,Screen mirroring:,Second camera:,Sensors:,Speakers:,Storage expansion:,Tablet dock:,Technology:,Third camera:,UMTS:,USB:,Unnamed: 0,Video playback:,Video recording:,VoLTE:,Warranty period:,Weight with the dock:,Weight:,Wi-Fi:,rating
,,,2.1,,,,,"UMTS, HSDPA 3.6 Mbit/s",,4.13 x 1.96 x 0.54 inches (104.8 x 49.8 x 13.7 mm),2.2 inches,,,,,"Numeric keypad, Touch sensitive area for navigation, Soft keys",,LED,,Yes,"850, 900, 1800, 1900 MHz",,,,,,,,,3 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,,,,TFT,,2100 MHz,USB 2.0,0,,220x176,,,,None,,10.0
,,,2.0,,,,,,,3.74 x 1.89 x 0.63 inches (95 x 48 x 16 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,0.3 megapixels VGA,,,,,None,"Polyphonic ringtones, Vibration, Phone profiles, Speakerphone",,Voice recording,,,,,,,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,Yes,0,,,,,,None,,4.0
,,,2.0,,"800, 1900 MHz",,,,,3.60 x 1.90 x 0.70 inches (91 x 48 x 18 mm),,,,,,"Numeric keypad, Soft keys",,,,,,,,2.5mm,,,,,,0.3 megapixels VGA,,,,,None,"Polyphonic ringtones, Vibration, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",,,,,,,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,,0,,,,,,None,,6.3
,,,2.0,,"800, 1700/2100, 1900 MHz",,,,,4.40 x 2.00 x 0.70 inches (112 x 51 x 18 mm),2.1 inches,,,,,"Numeric keypad, Full keyboard, Soft keys",,,,,,,,2.5mm,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,Yes,0,,,,,,None,,8.1
,,,"2.0, EDR",,,,,UMTS,,3.92 x 1.85 x 0.59 inches (99.5 x 47 x 15 mm),2.2 inches,,,,,"Numeric keypad, Soft keys",,,,Yes,"900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,176 x 220 pixels,,,,,,,,TFT,,2100 MHz,USB 2.0,0,,Yes,,,,None,,5.7
,,,2.0,,,,,"UMTS, HSDPA 7.2 Mbit/s",,4.19 x 2.12 x 0.68 inches (106.5 x 53.9 x 17.2 mm),2.8 inches,,,,,"Numeric keypad, Optical Mouse (Touchpad), Soft keys",,Dual LED,,Yes,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,8 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Flight mode, Silent mode, Speakerphone","Symbian (9.3), S60 3rd Edition, Feature Pack 2",Voice recording,OTA sync,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,"DLNA, TV-out",,Accelerometer,,,,TFT,,"900, 2100 MHz",USB 2.0,0,,640x480 (VGA) (30 fps),,,,None,Yes,8.9
,,,,,,,,,,4.09 x 1.73 x 0.63 inches (104 x 44 x 16 mm),1.5 inches,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800 MHz",,,,,,,,,,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,,,,,,,FM,,,128 x 128 pixels,,,,,,,,STN,,,,0,,,,,,None,,7.0
,,,,,,,,,,4.09 x 1.73 x 0.63 inches (104 x 44 x 16 mm),1.5 inches,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800 MHz",,,,,,,,,,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (40 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,,,,,,,,,128 x 128 pixels,,,,,,,,STN,,,,0,,,,,,None,,8.3
,,,2.0,,,,,,,3.43 x 1.77 x 0.77 inches (87 x 45 x 19.6 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,0.3 megapixels VGA,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (40 voices), Vibration, Speakerphone",,Voice recording,Computer sync,,,,,FM,Single camera,,128 x 160 pixels,,,,,,,,STN,,,,0,,,,,,None,,5.8
,,,"2.0, EDR",,,,,UMTS,,4.29 x 1.81 x 0.50 inches (109 x 46 x 12.8 mm),2.1 inches,,,,,"Numeric keypad, Soft keys",,LED,,,"850, 900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,176 x 220 pixels,,,,,,,,TFT,,2100 MHz,Yes,0,,Yes,,,,None,,6.8
,,,2.0,,,,,,,3.86 x 1.85 x 0.67 inches (98 x 46.9 x 16.9 mm),,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,,,,,,,0.3 megapixels VGA,,,,,None,"Polyphonic ringtones (40 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,"FM, Stereo",Single camera,,128 x 160 pixels,,,,,,,,TFT,,,USB 2.0,0,,Yes,,,,None,,6.2
,,,,,,,,,,3.50 x 1.76 x 0.79 inches (89 x 45 x 20 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Speakerphone",,Voice recording,,,,,,,,,128 x 160 pixels,,,,,,,,STN,,,,0,,,,,,None,,8.7
,,,2.0,,"800, 1900 MHz",,,,,3.67 x 1.85 x 0.78 inches (93 x 47 x 20 mm),,,,,,"Numeric keypad, Soft keys",,,,,,,,2.5mm,"M4, T4",,,,,0.3 megapixels VGA,,,,,None,"Polyphonic ringtones, Vibration, Speakerphone",,"Voice dialing, Voice commands, Voice recording",,,,,,,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,,0,,,,,,None,,6.5
,,,2.0,,,,,"UMTS, HSDPA 7.2 Mbit/s",,4.41 x 2.24 x 0.49 inches (112 x 56.9 x 12.5 mm),3.2 inches,,,,,Stylus,,LED,,,"850, 900, 1800, 1900 MHz",,,,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",Windows Mobile Professional (6.1),"Voice dialing, Voice commands, Voice recording",Computer sync,,,,256 MB,"FM, RDS",Single camera,,240 x 400 pixels,,TV-out,,Accelerometer,,,,TFT,,2100 MHz,USB 2.0,0,,Yes,,,,None,Yes,7.2
,,,"2.0, EDR",,"800, 1900 MHz",,,,,4.88 x 2.44 x 0.53 inches (124 x 62 x 13 mm),2.5 inches,,,,,"Full keyboard, Optical Mouse (Touchpad), Stylus, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,M4,,,,,2 megapixels,,,,,None,"Notification light, Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",Windows Mobile Professional (6.1),"Voice dialing, Voice commands, Voice recording",Computer sync,,,,256 MB,,Single camera,,320 x 320 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,"802.11 b, g",7.4
,,,"2.0, EDR",,,,,"UMTS, HSDPA 3.6 Mbit/s",,4.37 x 1.81 x 0.39 inches (111 x 46 x 9.9 mm),2.0 inches,,,,,"Numeric keypad, Soft keys",,LED,,Yes,"900, 1800, 1900 MHz",,,,,,,,,3 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,,,,TFT,,2100 MHz,USB 2.0,0,,220x176,,,,None,,7.0
,,,2.0,,"800, 1900 MHz",,,,,3.82 x 1.81 x 0.66 inches (97 x 46 x 16.7 mm),1.9 inches,,,,,"Numeric keypad, Soft keys",,,,,,,,,,,,,,0.3 megapixels VGA,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (72 voices), Vibration, Speakerphone",,"Voice dialing, Voice recording, TTY/TDD",,,,,,,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,,0,,,,,,None,,5.1
,,,2.0,,,,,,,3.81 x 1.81 x 0.62 inches (97 x 46 x 15.9 mm),1.8 inches,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,FM,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,7.5
,,,2.0,,,,,UMTS,,3.89 x 1.94 x 0.62 inches (99 x 49.5 x 15.9 mm),,,,,,"Numeric keypad, Soft keys",,,,Yes,"900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,,Single camera,,128 x 220 pixels,,,,,,,,TFT,,2100 MHz,USB 2.0,0,,Yes,,,,None,,9.3
,,,2.0,,,,,,,4.52 x 1.95 x 0.61 inches (115 x 49.6 x 15.7 mm),2.1 inches,,Yes,,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,FM,Single camera,,240 x 320 pixels,,,,,,,,TFT,,,USB 2.0,0,,Yes,,,,None,,6.3
,,,2.0,,"800, 1900 MHz",,,,,3.70 x 1.90 x 0.96 inches (94 x 48 x 24 mm),2.1 inches,,,,,"Numeric keypad, Soft keys",,,,,,,,2.5mm,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones, Vibration, Speakerphone",,"Voice dialing, Voice recording, TTY/TDD, Push-to-Talk",,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,1.7
,,,2.0,MediaFlo,,,,"UMTS, HSDPA 3.6 Mbit/s",,4.49 x 2.28 x 0.47 inches (114 x 58 x 12 mm),2.3 inches,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Speakerphone",,Voice recording,Computer sync,,,,,,Single camera,,320 x 240 pixels,,,,,,,,TFT,,"850, 1900 MHz",Yes,0,,Yes,,,,None,,8.6
,,,2.0,,"800, 1700/2100, 1900 MHz",,,,,4.07 x 1.77 x 0.59 inches (103 x 45 x 15 mm),1.5 inches,,,,,"Numeric keypad, Soft keys",,,,,,,,2.5mm,,,,,,,,,,,E911,"Polyphonic ringtones (72 voices), Vibration, Phone profiles, Speakerphone",,"Voice commands, Voice recording, TTY/TDD",,,,,,,,,128 x 128 pixels,,,,,,,,STN,,,,0,,,,,,None,,2.5
,,,2.0,,,,,,,3.62 x 1.83 x 0.78 inches (92 x 46 x 20 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Speakerphone",,,UMA (Wi-Fi Calling),,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,,0,,Yes,,,,None,Yes,5.3
,,,2.0,,,,,,,3.50 x 1.90 x 0.78 inches (89 x 48 x 20 mm),1.8 inches,,,,,"Numeric keypad, Soft keys",,,,,"850, 1800, 1900 MHz",,,,,,,,,0.3 megapixels VGA,,,,,None,"Polyphonic ringtones, Vibration",,,,,,,,,Single camera,,128 x 160 pixels,,,,,,,,STN,,,,0,,,,,,None,,5.2
,,,"2.0, EDR",,,,,,,3.82 x 1.81 x 0.66 inches (97 x 46 x 16.8 mm),2.1 inches,,,,,"Numeric keypad, D-Pad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",,Voice recording,Computer sync,,,,,,Single camera,,176 x 220 pixels,,,,,,up to 2 GB,,TFT,,,Yes,0,,Yes,,,,None,,5.0
,,,1.2,,,,,,,4.29 x 1.88 x 0.70 inches (109 x 48 x 17.9 mm),1.5 inches,,,,,"Numeric keypad, Soft keys",,LED,,,"900, 1800 MHz",,,,,,,,,0.3 megapixels VGA,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Speakerphone",,,Computer sync,,,,,FM,Single camera,,128 x 128 pixels,,,,,,,,STN,,,,0,,,,,,None,,9.1
,,,2.0,,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.05 x 2.08 x 0.70 inches (103 x 53 x 17.9 mm),2.6 inches,,,,,"Numeric keypad, Soft keys",,Xenon,,,"900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone","Symbian (9.2), S60 3rd Edition, Feature Pack 1",Voice recording,Computer sync,,,,,FM,Single camera,,240 x 320 pixels,,,,,,,,TFT,,2100 MHz,Yes,0,,Yes,,,,None,Yes,8.3
,,,2.0,,,,,"UMTS, HSDPA 7.2 Mbit/s",,3.85 x 2.16 x 0.45 inches (98 x 55 x 11.5 mm),2.8 inches,,,,,,,Yes,,,"900, 1800, 1900 MHz",,,,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,,,,TFT,,2100 MHz,Yes,0,,Yes,,,,None,,7.7
,,,2.0,,,,,"UMTS, HSDPA 3.6 Mbit/s",,4.05 x 1.88 x 0.66 inches (103 x 48 x 16.9 mm),2.2 inches,,,,,"Numeric keypad, Soft keys",,,,Yes,"900, 1800, 1900 MHz",,,3.5mm,,,,,,3 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,"Computer sync, SyncML",,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,,,,TFT,,2100 MHz,USB 2.0,0,,Yes,,,,None,,9.7
,,,2.0,,,,,"UMTS, HSDPA 3.6 Mbit/s",,4.01 x 1.88 x 0.55 inches (102 x 48 x 14 mm),,,,,,"Numeric keypad, Soft keys",,,,Yes,"900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,,,,TFT,,2100 MHz,USB 2.0,0,,Yes,,,,None,,9.2
,,,2.0,,,,,,,3.91 x 1.94 x 0.55 inches (99.5 x 49.5 x 14 mm),2.0 inches,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,,,,,,,0.3 megapixels VGA,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,FM,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,USB 1.1,0,,Yes,,,,None,,8.8
,,,2.0,,,,,,,4.37 x 1.77 x 0.38 inches (111 x 45 x 9.9 mm),1.9 inches,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Vibration, Speakerphone",,,,,,,,"FM, RDS",Single camera,,176 x 220 pixels,,,,,,,,TFT,,,USB 2.0,0,,Yes,,,,None,,8.1
,,,2.0,,,,,,,3.91 x 1.88 x 0.58 inches (99.5 x 48 x 14.8 mm),2.0 inches,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Speakerphone",,Voice recording,Computer sync,,,,,FM,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,USB 2.0,0,,Yes,,,,None,,7.1
,,,2.0,,,,,"UMTS, HSDPA 7.2 Mbit/s",,4.17 x 1.94 x 0.50 inches (106 x 49.5 x 12.9 mm),2.2 inches,,,,,"Numeric keypad, Touch sensitive area for navigation, Soft keys",,LED,,,"900, 1800, 1900 MHz",,,,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,,,,TFT,,2100 MHz,USB 2.0,0,,320x240 (QVGA),,,,None,,8.9
,,,2.0,,"800, 1900 MHz",,,,,4.57 x 2.17 x 0.49 inches (116 x 55 x 12.5 mm),3.1 inches,,,,,,,,,,,,,3.5mm,,,,,,2 megapixels,,,,,None,"Polyphonic ringtones (72 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",Computer sync,,,,,,Single camera,,240 x 432 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,7.5
,,,2.0,,"800, 1900 MHz",,,,,3.77 x 1.93 x 0.64 inches (95 x 49 x 16 mm),2.1 inches,,,,,"Numeric keypad, Soft keys",,,,,,,,2.5mm,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones (72 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,4.8
,,,2.0,,,,,"UMTS, HSDPA 3.6 Mbit/s",,4.50 x 2.09 x 0.46 inches (115 x 53.3 x 11.8 mm),3.2 inches,,,,,,,Yes,,Yes,"900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,,Single camera,,240 x 432 pixels,,,,,,,,LCD,,2100 MHz,USB 2.0,0,,Yes,,,,None,,8.1
,,,"2.0, EDR",,,,,"UMTS, HSDPA 3.6 Mbit/s",,4.56 x 2.40 x 0.50 inches (116 x 61.3 x 12.9 mm),2.5 inches,,,,,"Full keyboard, Stylus, Soft keys",,,,Yes,"900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",Windows Mobile Professional (6.0),Voice recording,Computer sync,,,,,,Single camera,,320 x 320 pixels,,,,,,,,TFT,,2100 MHz,USB 2.0,0,,Yes,,,,None,"802.11 b, g",9.3
,,,,,"800, 1900 MHz",,,,,3.50 x 1.80 x 0.78 inches (89 x 46 x 20 mm),1.7 inches,,,,,"Numeric keypad, Soft keys",,,,,,,,,,,,,,,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",,,,,,,,,128 x 160 pixels,,,,,,,,STN,,,,0,,,,,,None,,9.3
,,,2.0,,,,,UMTS,,3.89 x 1.88 x 0.70 inches (99 x 48 x 17.8 mm),,,,,,"Numeric keypad, Soft keys",,,,Yes,"900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,"Computer sync, SyncML",,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,2100 MHz,USB 2.0,0,,Yes,,,,None,,5.7
,,,1.2,,,,,UMTS,,3.87 x 1.95 x 0.64 inches (98.5 x 49.6 x 16.4 mm),2.1 inches,,,,,"Numeric keypad, Soft keys",,,,Yes,"900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,2100 MHz,USB 1.1,0,,220x176,,,,None,,9.0
,,,2.0,,"800, 1900 MHz",,,,,4.10 x 1.90 x 0.48 inches (104 x 48 x 12 mm),2.2 inches,,,,,"Numeric keypad, Soft keys",,,,,,,,,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Speakerphone",,"Voice dialing, Voice commands, Voice recording",,,,,,,Single camera,,240 x 320 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,3.9
,,,2.0,,,,,UMTS,,3.96 x 2.00 x 0.55 inches (100.5 x 51 x 14 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones (72 voices), Vibration, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",SyncML,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,1700/2100 MHz,USB 2.0,0,,220x176,,,,None,,7.6
,,,2.0,,,,,,,3.97 x 1.98 x 0.65 inches (101 x 50 x 16.5 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Speakerphone",,"Voice dialing, Voice commands, Voice recording","UMA (Wi-Fi Calling), SyncML",,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,USB 1.1,0,,Yes,,,,None,Yes,8.8
,,,2.0,,,,,,,3.70 x 1.81 x 0.68 inches (94 x 46 x 17.5 mm),2.0 inches,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,3.5mm,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,FM,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,USB 2.0,0,,220x176,,,,None,,8.4
,,,2.0,,"800, 1900 MHz",,,,,3.90 x 1.90 x 0.57 inches (99 x 48 x 14.5 mm),1.8 inches,,,,,"Numeric keypad, Full keyboard, Soft keys",,,,,,,,,,,,,,0.3 megapixels VGA,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,,0,,,,,,None,,5.0
,,,1.1,,"800, 1900 MHz",,,,,4.06 x 1.96 x 0.50 inches (103 x 50 x 12.7 mm),2.1 inches,,,,,"Numeric keypad, Soft keys",,,,,,,,,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,7.0
,,,2.0,,,,,,,3.70 x 1.90 x 0.65 inches (94 x 48 x 16.5 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording",,,,,,,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,8.9
,,,2.0,,,,,"UMTS, HSDPA 3.6 Mbit/s",,3.96 x 1.99 x 0.51 inches (100.5 x 50.5 x 13 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,,,,,,,Swivel,,176 x 220 pixels,,,,,,,,TFT,,"850, 1900 MHz",Yes,0,,Yes,,,,None,,6.0
,,,2.0,,,,,,,4.09 x 2.04 x 0.74 inches (104 x 51 x 18.9 mm),2.3 inches,,Yes,,,"Numeric keypad, Soft keys",,Yes,,,"900, 1800, 1900 MHz",,,,,,,,,3 megapixels,,,,,None,"Polyphonic ringtones (64 voices), Vibration, Speakerphone",,Voice recording,Computer sync,,,,,FM,Single camera,,240 x 320 pixels,,TV-out,,,,,,TFT,,,USB 2.0,0,,Yes,,,,None,,6.1
,,,1.2,,"800, 1900 MHz",,,,,4.09 x 1.97 x 0.70 inches (103.8 x 50 x 17.8 mm),2.8 inches,,,,,Full keyboard,,Yes,,,,,,2.5mm,M4,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",Computer sync,,,,,,Single camera,,240 x 440 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,5.8
,,,2.0,,,,,"UMTS, HSDPA 3.6 Mbit/s",,3.90 x 1.90 x 0.60 inches (99 x 48 x 15 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,"Voice recording, TTY/TDD",,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,"850, 1900 MHz",Yes,0,,Yes,,,,None,,7.3
,,,2.0,,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.40 x 2.30 x 0.40 inches (112 x 58.5 x 10 mm),2.4 inches,,,,,"Full keyboard, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Notification light, Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",Windows Mobile Standard (6.0),"Voice recording, TTY/TDD",Computer sync,,,,256 MB,,Single camera,,320 x 240 pixels,,,,,,,,TFT,,"850, 1900, 2100 MHz",Yes,0,,Yes,,,,None,,8.0
,,,2.0,,,,,"UMTS, HSDPA 3.6 Mbit/s",,3.97 x 2.00 x 0.74 inches (101 x 51 x 18.8 mm),2.4 inches,,,,,"Numeric keypad, Soft keys",,Xenon,,,"900, 1800, 1900 MHz",,,,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,Computer sync,,,,,FM,Single camera,,240 x 320 pixels,,,,,,,,TFT,,2100 MHz,Yes,0,,Yes,,,,None,,7.0
,,,2.0,,,,,"UMTS, HSDPA 3.6 Mbit/s",,4.06 x 2.01 x 0.63 inches (103 x 51 x 16 mm),2.4 inches,,,,,"Numeric keypad, Soft keys",,Yes,,Yes,"900, 1800, 1900 MHz",,,3.5mm,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone","Symbian (9.2), S60 3rd Edition, Feature Pack 1",Voice recording,Computer sync,,,,,FM,Single camera,,240 x 320 pixels,,,,,,,,TFT,,2100 MHz,USB 2.0,0,,Yes,,,,None,,8.0
